iid,id,gender,idg,wave,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr,sinc,intel,fun,amb,shar,dec
11,1,1,2,1,35,20,20,20,0,5,6,8,8,8,8,6,0
11,1,1,2,1,35,20,20,20,0,5,8,7,6,9,7,4,0
11,1,1,2,1,35,20,20,20,0,5,7,8,6,5,8,4,0
11,1,1,2,1,35,20,20,20,0,5,6,7,8,7,7,5,0
11,1,1,2,1,35,20,20,20,0,5,6,8,8,8,7,6,0
11,1,1,2,1,35,20,20,20,0,5,7,9,8,9,8,4,0
11,1,1,2,1,35,20,20,20,0,5,7,8,8,8,7,7,0
11,1,1,2,1,35,20,20,20,0,5,8,7,6,6,6,5,0
11,1,1,2,1,35,20,20,20,0,5,6,8,7,8,7,5,0
11,1,1,2,1,35,20,20,20,0,5,7,8,7,8,6,5,0
12,2,1,4,1,60,0,0,40,0,0,7,8,10,7,7,5,0
12,2,1,4,1,60,0,0,40,0,0,7,6,10,6,6,5,0
12,2,1,4,1,60,0,0,40,0,0,6,7,10,6,6,5,0
12,2,1,4,1,60,0,0,40,0,0,6,5,10,6,6,5,0
12,2,1,4,1,60,0,0,40,0,0,6,7,10,7,6,5,0
12,2,1,4,1,60,0,0,40,0,0,6,8,10,6,7,6,0
12,2,1,4,1,60,0,0,40,0,0,7,9,10,6,6,5,1
12,2,1,4,1,60,0,0,40,0,0,8,8,10,7,6,5,1
12,2,1,4,1,60,0,0,40,0,0,8,8,10,7,6,5,1
12,2,1,4,1,60,0,0,40,0,0,1,1,1,1,1,1,0
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
13,3,1,6,1,19,18,19,18,14,12,10,10,10,10,10,10,1
14,4,1,8,1,30,5,15,40,5,5,7,8,9,8,9,8,1
14,4,1,8,1,30,5,15,40,5,5,9,9,9,9,9,9,1
14,4,1,8,1,30,5,15,40,5,5,7,9,8,8,8,8,1
14,4,1,8,1,30,5,15,40,5,5,7,7,7,9,9,9,1
14,4,1,8,1,30,5,15,40,5,5,6,8,6,8,10,10,1
14,4,1,8,1,30,5,15,40,5,5,6,8,8,7,9,8,1
14,4,1,8,1,30,5,15,40,5,5,8,8,9,8,9,9,1
14,4,1,8,1,30,5,15,40,5,5,8,8,8,8,8,7,1
14,4,1,8,1,30,5,15,40,5,5,7,8,7,8,8,7,1
14,4,1,8,1,30,5,15,40,5,5,7,8,7,9,8,8,1
15,5,1,10,1,30,10,20,10,10,20,8,7,9,6,9,7,1
15,5,1,10,1,30,10,20,10,10,20,10,10,10,10,7,8,1
15,5,1,10,1,30,10,20,10,10,20,6,10,8,6,,,1
15,5,1,10,1,30,10,20,10,10,20,8,8,9,8,8,9,1
15,5,1,10,1,30,10,20,10,10,20,5,9,9,7,9,5,0
15,5,1,10,1,30,10,20,10,10,20,9,7,9,7,9,6,1
15,5,1,10,1,30,10,20,10,10,20,8,7,9,6,9,5,1
15,5,1,10,1,30,10,20,10,10,20,9,9,8,9,,7,1
15,5,1,10,1,30,10,20,10,10,20,7,9,8,9,7,7,1
15,5,1,10,1,30,10,20,10,10,20,6,9,9,7,8,,1
16,6,1,12,1,50,0,30,10,0,10,7,7,8,8,7,7,1
16,6,1,12,1,50,0,30,10,0,10,7,8,7,5,7,7,1
16,6,1,12,1,50,0,30,10,0,10,7,6,6,6,6,6,1
16,6,1,12,1,50,0,30,10,0,10,6,6,7,7,8,7,1
16,6,1,12,1,50,0,30,10,0,10,5,8,7,7,7,7,0
16,6,1,12,1,50,0,30,10,0,10,6,6,8,8,8,7,1
16,6,1,12,1,50,0,30,10,0,10,8,8,8,6,6,6,1
16,6,1,12,1,50,0,30,10,0,10,8,7,7,7,8,7,1
16,6,1,12,1,50,0,30,10,0,10,6,6,7,8,7,7,1
16,6,1,12,1,50,0,30,10,0,10,,8,7,7,7,7,0
17,7,1,14,1,35,15,25,10,5,10,3,6,7,5,8,7,0
17,7,1,14,1,35,15,25,10,5,10,5,3,4,3,5,3,0
17,7,1,14,1,35,15,25,10,5,10,6,3,5,4,5,4,0
17,7,1,14,1,35,15,25,10,5,10,7,6,3,5,6,5,1
17,7,1,14,1,35,15,25,10,5,10,2,3,4,4,5,3,0
17,7,1,14,1,35,15,25,10,5,10,5,6,8,4,5,4,0
17,7,1,14,1,35,15,25,10,5,10,7,6,5,4,4,3,0
17,7,1,14,1,35,15,25,10,5,10,6,4,7,5,6,4,0
17,7,1,14,1,35,15,25,10,5,10,8,6,7,8,6,5,1
17,7,1,14,1,35,15,25,10,5,10,7,7,4,3,4,4,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,1
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,1
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,1
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,0
18,8,1,16,1,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,0
19,9,1,18,1,50,0,25,10,0,15,7,7,8,8,8,9,1
19,9,1,18,1,50,0,25,10,0,15,8,6,9,9,8,7,1
19,9,1,18,1,50,0,25,10,0,15,7,7,6,8,7,7,1
19,9,1,18,1,50,0,25,10,0,15,7,7,7,10,9,10,1
19,9,1,18,1,50,0,25,10,0,15,5,9,9,9,9,6,1
19,9,1,18,1,50,0,25,10,0,15,6,7,7,6,6,6,1
19,9,1,18,1,50,0,25,10,0,15,9,7,9,9,9,10,1
19,9,1,18,1,50,0,25,10,0,15,8,7,8,10,8,10,1
19,9,1,18,1,50,0,25,10,0,15,6,6,6,7,6,6,1
19,9,1,18,1,50,0,25,10,0,15,7,7,7,7,6,6,1
20,10,1,20,1,100,0,0,0,0,0,6,6,6,6,6,6,0
20,10,1,20,1,100,0,0,0,0,0,6,5,7,7,9,7,0
20,10,1,20,1,100,0,0,0,0,0,5,6,8,5,8,6,0
20,10,1,20,1,100,0,0,0,0,0,7,8,8,7,8,7,0
20,10,1,20,1,100,0,0,0,0,0,3,10,7,7,10,5,0
20,10,1,20,1,100,0,0,0,0,0,7,10,10,6,10,7,0
20,10,1,20,1,100,0,0,0,0,0,7,6,8,6,8,7,0
20,10,1,20,1,100,0,0,0,0,0,8,10,9,9,8,8,1
20,10,1,20,1,100,0,0,0,0,0,5,6,6,6,6,6,0
20,10,1,20,1,100,0,0,0,0,0,6,6,6,6,6,6,0
40,1,1,2,2,25,20,25,20,10,0,3,10,10,6,4,7,0
40,1,1,2,2,25,20,25,20,10,0,4,10,8,8,6,4,0
40,1,1,2,2,25,20,25,20,10,0,5,4,3,7,4,3,0
40,1,1,2,2,25,20,25,20,10,0,5,10,9,9,8,5,0
40,1,1,2,2,25,20,25,20,10,0,8,10,9,9,8,4,0
40,1,1,2,2,25,20,25,20,10,0,8,9,9,8,7,4,0
40,1,1,2,2,25,20,25,20,10,0,9,8,6,8,7,5,0
40,1,1,2,2,25,20,25,20,10,0,8,8,7,8,7,3,0
40,1,1,2,2,25,20,25,20,10,0,5,6,3,4,3,3,0
40,1,1,2,2,25,20,25,20,10,0,6,6,8,7,8,4,0
40,1,1,2,2,25,20,25,20,10,0,7,5,4,4,8,3,0
40,1,1,2,2,25,20,25,20,10,0,8,10,10,7,8,4,0
